,"(p,q)x(P,Q)",AIC
124,"(4, 2, 2, 3)",-2269.8791749927823
125,"(5, 4, 3, 2)",-2269.8757787188265
126,"(6, 5, 0, 2)",-2269.4966336633297
127,"(2, 2, 0, 3)",-2268.5771019306544
128,"(3, 4, 1, 3)",-2268.3727328120594
129,"(1, 5, 1, 2)",-2267.9482057248083
130,"(2, 4, 0, 2)",-2267.8855331167047
131,"(1, 3, 3, 3)",-2267.837984144822
132,"(4, 3, 0, 2)",-2267.7880053010326
133,"(0, 2, 1, 2)",-2267.261214957705
134,"(1, 2, 3, 3)",-2267.1170842349075
135,"(1, 6, 3, 2)",-2266.8925844372015
136,"(2, 5, 3, 3)",-2266.8592269277124
137,"(4, 6, 3, 2)",-2266.6656641598174
138,"(0, 6, 1, 3)",-2266.1744986622634
139,"(3, 5, 3, 1)",-2266.150697812283
140,"(2, 1, 3, 3)",-2265.827781687425
141,"(0, 3, 1, 3)",-2265.6617618695423
142,"(0, 6, 0, 2)",-2265.505624765714
143,"(1, 2, 0, 3)",-2265.3366187315614
144,"(1, 1, 3, 3)",-2265.2527223910683
145,"(0, 3, 1, 2)",-2265.1856687791105
146,"(2, 3, 0, 2)",-2265.1286193883157
147,"(1, 2, 1, 2)",-2265.0946579116776
148,"(1, 5, 3, 3)",-2264.51629029295
149,"(3, 6, 0, 2)",-2264.40305757033
150,"(4, 5, 3, 3)",-2264.355142469766
151,"(2, 2, 1, 2)",-2264.0570517162814
152,"(2, 6, 3, 1)",-2263.888486295751
153,"(5, 3, 2, 3)",-2263.8493112226224
154,"(1, 1, 1, 2)",-2263.8366614362885
155,"(5, 6, 0, 2)",-2263.2991217174076
156,"(1, 3, 1, 2)",-2263.2052871504006
157,"(1, 2, 1, 3)",-2262.992006574409
158,"(5, 6, 3, 3)",-2262.927819229397
159,"(3, 3, 2, 3)",-2262.595074895892
160,"(4, 1, 3, 1)",-2262.44802153116
161,"(5, 1, 1, 3)",-2262.257822668882
162,"(0, 5, 3, 3)",-2262.1300554815143
