,"(p,q)x(P,Q)",AIC
124,"(0, 3, 0, 3)",-2747.4646411586737
125,"(4, 3, 2, 2)",-2747.3733021205026
126,"(5, 4, 1, 3)",-2747.1803370184066
127,"(0, 6, 1, 3)",-2747.1483055188346
128,"(6, 1, 0, 3)",-2746.6542427903305
129,"(0, 2, 3, 3)",-2745.928867957158
130,"(5, 3, 1, 3)",-2744.458872208317
131,"(3, 4, 1, 3)",-2744.1073809972154
132,"(2, 0, 2, 2)",-2743.396801792005
133,"(4, 5, 1, 2)",-2742.2488770313093
134,"(4, 6, 1, 3)",-2742.0749287604303
135,"(1, 5, 2, 3)",-2741.8854635715156
136,"(6, 2, 1, 3)",-2741.113642982824
137,"(2, 6, 1, 3)",-2740.9595885681915
138,"(2, 3, 3, 3)",-2740.832207301392
139,"(5, 5, 1, 3)",-2740.395720748881
140,"(4, 1, 1, 3)",-2738.780079391365
141,"(4, 1, 2, 3)",-2737.7524822464716
142,"(3, 6, 1, 3)",-2737.463880101638
143,"(6, 6, 0, 2)",-2737.4200445457645
144,"(1, 3, 2, 3)",-2736.5836340952173
145,"(2, 4, 1, 3)",-2736.4990592308327
146,"(1, 1, 3, 3)",-2733.7167341341024
147,"(5, 0, 2, 2)",-2733.1216985996357
148,"(1, 3, 1, 3)",-2731.768526501348
149,"(2, 3, 2, 3)",-2731.2061588344836
150,"(4, 4, 1, 2)",-2729.458304081886
151,"(1, 6, 1, 3)",-2729.1421164033873
152,"(5, 1, 1, 3)",-2728.438992455587
153,"(3, 3, 1, 3)",-2728.283874521353
154,"(3, 2, 3, 3)",-2728.158302338918
155,"(0, 1, 0, 3)",-2727.656232922053
156,"(1, 3, 0, 3)",-2726.6099271860758
157,"(0, 5, 3, 3)",-2725.298535970492
158,"(7, 0, 0, 3)",-2724.9768144891113
159,"(4, 1, 0, 3)",-2723.182840293365
160,"(3, 6, 1, 2)",-2722.4270975796708
161,"(2, 3, 1, 3)",-2721.9616822497114
162,"(0, 1, 1, 3)",-2721.3545102918056
163,"(2, 2, 3, 3)",-2721.0293007947585
164,"(6, 1, 1, 2)",-2720.1580890559535
165,"(5, 3, 3, 1)",-2720.066069974797
166,"(7, 6, 0, 2)",-2719.9799174725013
167,"(6, 4, 1, 2)",-2719.1550423707176
168,"(3, 3, 3, 3)",-2718.849009329264
169,"(5, 5, 1, 2)",-2718.574092855954
170,"(5, 0, 2, 3)",-2717.0890005130586
171,"(5, 1, 0, 3)",-2716.9264962304933
172,"(4, 1, 3, 2)",-2715.1239801475754
173,"(4, 0, 0, 3)",-2712.0455455682973
174,"(6, 3, 3, 1)",-2711.849690613247
175,"(1, 2, 0, 3)",-2710.793624470698
176,"(0, 2, 0, 3)",-2709.26032916663
177,"(5, 0, 0, 3)",-2708.68158447299
178,"(5, 1, 2, 2)",-2708.2034845667176
179,"(3, 1, 0, 3)",-2708.0114299745355
180,"(6, 1, 1, 3)",-2706.867090973607
181,"(1, 1, 1, 3)",-2706.152598647794
182,"(0, 2, 2, 3)",-2705.8061282280587
183,"(3, 3, 2, 3)",-2705.3574883691563
184,"(3, 1, 1, 3)",-2704.2822635480925
185,"(1, 3, 2, 2)",-2703.3772597662214
186,"(0, 2, 1, 3)",-2701.5451437202637
187,"(3, 0, 2, 3)",-2701.451096870761
188,"(6, 0, 1, 3)",-2701.1888369817
189,"(2, 1, 1, 3)",-2701.18303748075
190,"(5, 4, 1, 2)",-2700.6937404971627
191,"(2, 0, 2, 3)",-2698.79483517022
192,"(6, 6, 1, 2)",-2698.5313646690943
193,"(6, 2, 1, 2)",-2697.517833768272
194,"(5, 4, 3, 2)",-2696.8709520662824
195,"(6, 6, 3, 3)",-2696.3456959016794
196,"(2, 1, 2, 3)",-2693.189002389614
197,"(5, 4, 0, 2)",-2691.9329338154353
198,"(3, 0, 0, 3)",-2691.5250592259995
199,"(1, 1, 2, 3)",-2688.7890167181563
200,"(3, 3, 3, 2)",-2687.97251398383
201,"(4, 0, 1, 3)",-2685.7816173624283
202,"(4, 3, 1, 3)",-2683.848323625242
203,"(6, 4, 3, 1)",-2683.4428218016383
204,"(2, 6, 2, 2)",-2683.222510895097
205,"(5, 5, 3, 2)",-2681.3341459368257
206,"(5, 0, 1, 3)",-2681.317083513657
207,"(4, 5, 0, 2)",-2680.4733960005724
208,"(6, 5, 3, 1)",-2678.406629883602
209,"(3, 4, 2, 2)",-2678.3786346260295
210,"(4, 5, 2, 2)",-2676.9858644600026
211,"(2, 3, 0, 3)",-2676.259682285612
212,"(1, 3, 3, 2)",-2676.1062016337755
213,"(1, 1, 0, 3)",-2676.069674819012
214,"(2, 4, 2, 2)",-2676.0491118664922
215,"(6, 6, 3, 1)",-2675.589509888341
